com_name,province,city,credit_no,legal_person,com_type,com_cate,data_eastablish,capital,num_emp,locate,email,bussiness_scope,com_url,phone,more_phone
东莞农村商业银行股份有限公司,广东省,东莞市,914419007829859746,王耀球,其他股份有限公司(非上市),货币金融服务,2005-11-30,-,5495,广东省东莞市东城区鸿福东路2号,暂无信息,吸收本外币公众存款；发放本外币短期、中期和长期贷款；办理国内外结算；办理票据承兑与贴现；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事本外币同业拆借；从事银行卡（含信用卡）业务；代理收付款项及代理保险业务；提供保管箱服务；外汇汇款、外币兑换；结汇、售汇业务；代理远期结售汇业务；外汇资信调查、咨询和见证业务；证券投资基金销售业务；实物黄金业务及贵金属交易买卖业务；经中国银行业监督管理委员会批准的其他业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,www.drcbank.com,0769-22866662,"[""0769-22866662""]"
广州供电局有限公司,广东省,广州市,91440101589527752M,廖建平,有限责任公司(法人独资),电力、热力生产和供应业,2012-02-06,-,9027,广州市天河区天河南二路2号,暂无信息,电力供应;承装（修、试）电力设施;送变电工程专业承包;工程和技术研究和试验发展;能源技术研究、技术开发服务;电子、通信与自动控制技术研究、开发;能源技术咨询服务;工程和技术基础科学研究服务;电力电子技术服务;信息技术咨询服务;电气防火技术检测服务;工程技术咨询服务;职业技能培训（不包括需要取得许可审批方可经营的职业技能培训项目）;电气设备零售;电力输送设施安装工程服务;建筑物电力系统安装;电工器材零售;企业自有资金投资;投资管理服务;,www.gzsgdj.cn,87122998,"[""87122998"",""87122121""]"
广东志高空调有限公司,广东省,佛山市,914406052318367964,李兴浩,有限责任公司(外国法人独资),电气机械和器材制造业,1997-06-16,99614万人民币,6372,佛山市南海区里水镇胜利工业区,sale@china-chigo.com,制造、加工、销售：家用空调、冷柜、冰箱、电磁炉、微波炉、电炒锅、电压力锅、电饭煲（锅）、洗衣机、电风扇（国内销售）、烟机、消毒柜、太阳能热水器、碟机、豆浆机、榨汁机、多功能搅拌机、电热水壶、电暖器、暖风机、浴霸、电热水器、饮水机、电开水瓶、电开水桶、净水器等家用电器，音像设备、商用空调、燃气热水器、燃气灶具、电子计算机、除湿机、冷冻冷藏设备、制冰机、风幕机、空气源热泵热水器、太阳能复合动力空调机组、五金及塑料模具、塑胶制品、自动售货机、电缆切割器及上述产品的零配件，上述产品的售后服务。自有家用电器的出租、有偿使用服务。研究开发中心（家用空调、商用空调、太阳能复合动力空调机组、空气源热泵热水器的研发）（以上项目不涉及外商投资准入特别管理措施）。,www.china-chigo.com,0757-85660491,"[""0757-85660491"",""85660491""]"
中铁隧道局集团有限公司,广东省,广州市,91410300171075680N,于保林,有限责任公司(法人独资),土木工程建筑业,1984-10-20,-,5442,广州市南沙区明珠湾起步区工业四路西侧自编2号（仅限办公用途）（自主申报）（MZ）,zhwb32971@qq.com,房屋建筑工程施工;铁路工程建筑;公路工程建筑;市政公用工程施工;水利和内河港口工程建筑;港口及航运设施工程建筑;工矿工程建筑;铁路、道路、隧道和桥梁工程建筑;工程总承包服务;工程施工总承包;工程项目管理服务;预应力工程施工（含制梁工程）;城市轨道桥梁工程服务;城市地铁隧道工程服务;综合管廊的建设、运营、维护、管理（不含许可经营项目）;园林绿化工程服务;铁道工程设计服务;公路工程及相关设计服务;工程和技术研究和试验发展;技术服务(不含许可审批项目);盾构机械技术服务;计量认证（具体范围见计量认证证书及其附表）;货物进出口（专营专控商品除外）;技术进出口;电气机械检测服务;通用设备修理;工程监理服务;摄影服务;会议及展览服务;施工现场质量检测;无损检测;实验室检测（涉及许可项目的需取得许可后方可从事经营）;其他工程设计服务;机械设备租赁;广告业;工矿工程机械修理;盾构机械检修;通用机械设备销售;通风设备销售;信息技术咨询服务;建筑工程、土木工程技术咨询服务;企业管理咨询服务;机械技术咨询、交流服务;工程技术咨询服务;教育咨询服务;金属表面处理及热处理加工;锻件及粉末冶金制品制造;锚及零件制造;五金配件制造、加工;爆破作业;向境外派遣各类劳务人员（不含海员）;对外劳务合作;建筑劳务派遣,www.crtg.com,020-32268617,"[""020-32268617"",""020-32268700"",""0379-62632971"",""62632971""]"
广东中烟工业有限责任公司,广东省,广州市,91440000190329746K,白云峰,有限责任公司(国有控股),烟草制品业,1990-11-26,1435723.4万人民币,5054,广东省广州市天河区林和西横路186号8-16楼,暂无信息,卷烟、雪茄烟生产、销售：烟叶、复烤烟叶购进；烟草专用机械购进；卷烟纸、滤嘴棒、烟用丝束购进。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,gdgy.tobacco.com.cn,020-87013331,"[""020-87013331"",""87013283""]"
广州尚智思德教育科技有限公司,广东省,-,91440101MA5AA73U3L,刘通博,有限责任公司(法人独资),研究和试验发展,2017-09-28,60000万人民币,6512,广州中新广州知识城九佛建设路333号自编612室,legal-department@sunlands.com,软件开发;教育咨询服务;信息系统集成服务;计算机技术开发、技术服务;教学设备的研究开发;企业管理咨询服务;网络技术的研究、开发;信息技术咨询服务;场地租赁（不含仓储）;办公设备耗材零售;商品零售贸易（许可审批类商品除外）;办公设备耗材批发;办公设备批发;呼叫中心,-,38889797,"[""38889797""]"
广梅汕铁路有限责任公司,广东省,广州市,91440000190333366B,武勇,有限责任公司(国有控股),铁路运输业,1998-09-22,670869.874万人民币,5832,广州市天河区天河路236号2205房,暂无信息,铁路客货运输服务，铁路设施技术服务，仓储、装卸服务，铁路设备租赁，机械设备维修、加工及维护，铁路专用仪器设备检测、维修、租赁、安装，铁路工程施工管理服务，铁路内外建设工程的勘察设计、施工和维修，科技开发及技术服务。,-,202-61320788,"[""202-61320788"",""020-61320108"",""020-61320788"",""61320788""]"
信利光电股份有限公司,广东省,汕尾市,91441500675216889G,李建华,股份有限公司(台港澳与境内合资、未上市),仪器仪表制造业,2008-06-16,34000万人民币,9663,汕尾市区工业大道信利工业城一区第15栋,zhongjz.wwb@truly.com.cn,研究与开发、生产和销售触摸屏、触控器件及集成触控模组、微型摄像模组、光电子器件及其他电子器件、光学器件、系统产品、新型电子元器件等产品及其关键部件和材料，并提供相关的技术开发和技术咨询服务。,www.trulyopto.com,0660-3823333,"[""0660-3823333""]"
深圳软通动力信息技术有限公司,广东省,深圳市,91440300MA5DJWNF8W,孙宏亮,有限责任公司（自然人投资或控股的法人独资）,其他服务业,2016-08-25,-,8288,深圳市罗湖区东晓街道布吉路1028号中设广场A栋2-24层,hfzhang@isoftstone.com,一般经营项目是：计算机软、硬件的技术开发、技术咨询及销售；计算机信息系统集成；展览展示服务；安全技术防范系统工程设计、施工；国内贸易，从事货物及技术的进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。（企业经营涉及前置性行政许可的，须取得前置性行政许可文件后方可经营），许可经营项目是：二类医疗器械的销售；劳务派遣。,-,0755-26719999,"[""0755-26719999""]"
三赢科技（深圳）有限公司,广东省,深圳市,914403007261719171,周贤颖,有限责任公司(外国法人独资),计算机、通信和其他电子设备制造业,2001-02-26,4300万美元,5970,深圳市龙华新区龙华油松第十工业区东环二路二号,bo.b.wang@mail.foxconn.com,软件的设计开发，通信网络的设计，软件、硬件的系统整合及相关技术服务，从事相关科技咨询。生产经营光电器件、敏感元器件、半导体、光电子专用材料、新型显示器件及其上述产品的零配件。开发、生产数字照相机及关键件。从事上述产品的同类商品的进出口，批发业务及相关配套服务。智能穿戴式电子产品、智能家用电子用品、微投影仪的批发。从事非配额许可证管理、非专营商品的收购出口业务（以上商品进出口不涉及国营贸易、进出口配额许可证、出口配额招标、出口许可证等专项管理的商品，涉及其他专项规定管理的商品按国家有关规定办理）。,-,0755-28129588,"[""0755-28129588""]"
广州公交集团电车有限公司,广东省,广州市,914401011904268104,郑敏珊,有限责任公司(法人独资),道路运输业,1982-08-17,23500.609万人民币,5016,广州市荔湾区中山八路64号,bgs@gadc.com.cn,公共电汽车客运;汽车修理与维护;汽车驾驶员培训;广告业;电力输送设施安装工程服务;电力工程设计服务;汽车零配件批发;汽车零配件零售;充电桩设施安装、管理;为电动汽车提供电池充电服务;向游客提供旅游、交通、住宿、餐饮等代理服务（不涉及旅行社业务）;,www.gzdc.com.cn,81814451,"[""81814451""]"
广东恒健制药有限公司,广东省,江门市,91440704193959639D,胡锡昌,有限责任公司(自然人投资或控股),批发业,1994-02-23,1698万人民币,5749,广东省江门市龙溪路117号,gdhengjain@163.com,生产、加工、销售：中西制剂药品、化学原料药、中药材及中药饮片、药用辅料、医疗器械、化妆品、消毒剂、普通口罩、洗涤剂及其他日用化学品、化工产品；销售：日用百货。（以上项目凭有效的《药品生产许可证》、《化妆品生产企业卫生许可证》、《医疗器械生产企业许可证》、《全国工业产品生产许可证》、《消毒产品生产企业卫生许可证》核准范围及方式经营）。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,www.hengjian.cn,0750-3869322,"[""0750-3869322""]"
广州市百果园网络科技有限公司,广东省,广州市,91440113327573230P,胡建强,有限责任公司(自然人投资或控股),研究和试验发展,2014-12-17,1000万人民币,5893,广州市番禺区市桥街兴泰路278号基盛商业中心4、5、6、13、14、15、16层,xiaobo@bigo.sg,计算机技术开发、技术服务;软件测试服务;软件开发;软件服务;软件批发;人力资源外包;业务流程外包;电子、通信与自动控制技术研究、开发;网络技术的研究、开发;美术品批发;日用器皿及日用杂货批发;玉石饰品批发;水晶首饰批发;珍珠饰品批发;软件零售;科技信息咨询服务;其他人造首饰、饰品批发;钟表批发;化妆品及卫生用品批发;游戏软件设计制作;科技中介服务;信息电子技术服务;电力电子技术服务;信息系统集成服务;帽批发;鞋批发;箱、包批发;皮革及皮革制品批发;眼镜批发;工艺品批发;铂金制品批发;黄金制品批发;白银制品批发;宝石饰品批发;信息技术咨询服务;地理信息加工处理;服装批发;服装辅料批发;数据处理和存储服务;数字动漫制作;游艺及娱乐用品批发;其他文化娱乐用品批发;家用电器批发;五金产品批发;体育用品及器材批发;纺织品、针织品及原料批发;文具用品批发;家具批发;婴儿用品批发;蔬菜批发;水果批发;玩具零售;电子产品零售;箱、包零售;工艺美术品零售;汽车销售;摩托车批发;摩托车零配件批发;摩托车零售;摩托车零配件零售;充值卡销售;小饰物、小礼品零售;电子产品批发;电气设备批发;航空运输设备批发;水上运输设备批发;游艇零售;商品批发贸易（许可审批类商品除外）;商品零售贸易（许可审批类商品除外）;票务服务;纺织品及针织品零售;服装零售;文具用品零售;收集、整理、储存和发布人才供求信息;人才推荐;人才择业咨询指导;人才招聘;人才测评;人才培训;人才资源开发与管理咨询;职业中介服务;职业信息服务;人事代理;劳动保障事务咨询服务;劳动保障事务代理服务;流动人才人事档案及相关的人事行政关系管理;劳务派遣服务;向境外派遣各类劳务人员（不含海员）;对外劳务合作;境外就业中介服务;大学生就业推荐;人才租赁;人才引进;人才信息网络服务,www.yuanyuantv.com,020-82120650,"[""020-82120650"",""18565207668"",""020-82120424"",""29162008""]"
